Studiekode,Studienavn,Lærested,Studiested,Utdanningsområde og -type,Kvote,Opptaksrunde,År,Poenggrense
184 870,Europastudier,UIB,Bergen,SAMFUNN,ORDF,Hovedopptak,2021,37.5
184 873,Kjønnsstudier,UIB,Bergen,HISTORIE,ORD,Hovedopptak,2021,0
184 873,Kjønnsstudier,UIB,Bergen,HISTORIE,ORDF,Hovedopptak,2021,0
184 876,Generell psykologi,UIB,Bergen,SAMFUNN,ORD,Hovedopptak,2021,56.4
184 876,Generell psykologi,UIB,Bergen,SAMFUNN,ORDF,Hovedopptak,2021,51.7
184 878,"Sammenliknende politikk, bachelor",UIB,Bergen,SAMFUNN,ORD,Hovedopptak,2021,47.2
184 878,"Sammenliknende politikk, bachelor",UIB,Bergen,SAMFUNN,ORDF,Hovedopptak,2021,45.4
184 879,"Sosialantropologi, bachelor",UIB,Bergen,SAMFUNN,ORD,Hovedopptak,2021,41
184 879,"Sosialantropologi, bachelor",UIB,Bergen,SAMFUNN,ORDF,Hovedopptak,2021,38.1
184 880,"Sosiologi, bachelor",UIB,Bergen,SAMFUNN,ORD,Hovedopptak,2021,44
184 880,"Sosiologi, bachelor",UIB,Bergen,SAMFUNN,ORDF,Hovedopptak,2021,41.4
184 886,Russisk,UIB,Bergen,SPRÅK,ORD,Hovedopptak,2021,0
184 886,Russisk,UIB,Bergen,SPRÅK,ORDF,Hovedopptak,2021,0
184 887,"Engelsk, bachelor",UIB,Bergen,SPRÅK,ORD,Hovedopptak,2021,0
184 887,"Engelsk, bachelor",UIB,Bergen,SPRÅK,ORDF,Hovedopptak,2021,0
184 888,"Fransk, bachelor",UIB,Bergen,SPRÅK,ORD,Hovedopptak,2021,0
184 888,"Fransk, bachelor",UIB,Bergen,SPRÅK,ORDF,Hovedopptak,2021,0
184 889,Nordisk språk og litteratur,UIB,Bergen,SPRÅK,ORD,Hovedopptak,2021,0
184 889,Nordisk språk og litteratur,UIB,Bergen,SPRÅK,ORDF,Hovedopptak,2021,0
184 890,"Tysk, bachelor",UIB,Bergen,SPRÅK,ORD,Hovedopptak,2021,0
184 890,"Tysk, bachelor",UIB,Bergen,SPRÅK,ORDF,Hovedopptak,2021,0
184 893,Språkvitenskap,UIB,Bergen,SPRÅK,ORD,Hovedopptak,2021,0
184 893,Språkvitenskap,UIB,Bergen,SPRÅK,ORDF,Hovedopptak,2021,0
184 903,Arbeids- og organisasjonspsykologi,UIB,Bergen,SAMFUNN,ORD,Hovedopptak,2021,56.4
184 903,Arbeids- og organisasjonspsykologi,UIB,Bergen,SAMFUNN,ORDF,Hovedopptak,2021,51
184 909,Retorikk,UIB,Bergen,SPRÅK,ORD,Hovedopptak,2021,0
184 909,Retorikk,UIB,Bergen,SPRÅK,ORDF,Hovedopptak,2021,0
184 910,"Religionsvitenskap, årsstudium",UIB,Bergen,HISTORIE,ORD,Hovedopptak,2021,0
184 910,"Religionsvitenskap, årsstudium",UIB,Bergen,HISTORIE,ORDF,Hovedopptak,2021,0
184 911,"Norsk som andrespråk, årsstudium",UIB,Bergen,SPRÅK,ORD,Hovedopptak,2021,0
184 911,"Norsk som andrespråk, årsstudium",UIB,Bergen,SPRÅK,ORDF,Hovedopptak,2021,0
184 912,"Spansk språk og latinamerikastudier, årsstudium",UIB,Bergen,SPRÅK,ORD,Hovedopptak,2021,0
184 912,"Spansk språk og latinamerikastudier, årsstudium",UIB,Bergen,SPRÅK,ORDF,Hovedopptak,2021,0
184 914,Statistikk og data science,UIB,Bergen,REALFAG,ORD,Hovedopptak,2021,0
184 914,Statistikk og data science,UIB,Bergen,REALFAG,ORDF,Hovedopptak,2021,0
184 915,"Geovitenskap, retning geofysikk",UIB,Bergen,REALFAG,ORD,Hovedopptak,2021,41.5
184 915,"Geovitenskap, retning geofysikk",UIB,Bergen,REALFAG,ORDF,Hovedopptak,2021,45
184 916,"Klima-, atmosfære- og havfysikk",UIB,Bergen,REALFAG,ORD,Hovedopptak,2021,0
184 916,"Klima-, atmosfære- og havfysikk",UIB,Bergen,REALFAG,ORDF,Hovedopptak,2021,0
184 922,Litteraturvitenskap,UIB,Bergen,HISTORIE,ORD,Hovedopptak,2021,0
184 922,Litteraturvitenskap,UIB,Bergen,HISTORIE,ORDF,Hovedopptak,2021,0
184 923,Arabisk,UIB,Bergen,SPRÅK,ORD,Hovedopptak,2021,0
184 923,Arabisk,UIB,Bergen,SPRÅK,ORDF,Hovedopptak,2021,0
184 924,"Spansk språk og latinamerikastudier, bachelor",UIB,Bergen,SPRÅK,ORD,Hovedopptak,2021,0
184 924,"Spansk språk og latinamerikastudier, bachelor",UIB,Bergen,SPRÅK,ORDF,Hovedopptak,2021,0
