Lærested,Lærestedsnavn ,Studiekode,Studienavn,Studiested,Utdanningsområde- og type,Kvote,År,Opptaksfase,Poenggrense,Poenggrense + venteliste,Antall på venteliste,Antall studier per kvote i år
AHS,Ansgar høyskole,255 936,Praktisk teologi,Kristiansand,HISTORIE,ORDF,2020,Suppleringsopptak,Alle,Alle (0),0,1272
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 130,Barnehagelærer,Trondheim,LÆRER - BHGLÆRER,ORD,2019,Hovedopptak,38.0,38.0 (118),118,1303
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 130,Barnehagelærer,Trondheim,LÆRER - BHGLÆRER,ORD,2019,Suppleringsopptak,38.0,38.0 (74),74,1303
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 130,Barnehagelærer,Trondheim,LÆRER - BHGLÆRER,ORD,2020,Hovedopptak,38.5,38.5 (98),98,1303
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 130,Barnehagelærer,Trondheim,LÆRER - BHGLÆRER,ORD,2020,Suppleringsopptak,36.4,36.4 (36),36,1303
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 130,Barnehagelærer,Trondheim,LÆRER - BHGLÆRER,ORDF,2019,Hovedopptak,33.5,33.5 (34),34,1272
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 130,Barnehagelærer,Trondheim,LÆRER - BHGLÆRER,ORDF,2019,Suppleringsopptak,33.5,33.5 (21),21,1272
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 130,Barnehagelærer,Trondheim,LÆRER - BHGLÆRER,ORDF,2020,Hovedopptak,34.0,34.0 (38),38,1272
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 130,Barnehagelærer,Trondheim,LÆRER - BHGLÆRER,ORDF,2020,Suppleringsopptak,32.5,32.5 (16),16,1272
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 131,"Barnehagelærer, musikk, drama, kunst og håndverk",Trondheim,LÆRER - BHGLÆRER,ORD,2019,Hovedopptak,36.5,36.5 (15),15,1303
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 131,"Barnehagelærer, musikk, drama, kunst og håndverk",Trondheim,LÆRER - BHGLÆRER,ORD,2019,Suppleringsopptak,36.5,36.5 (6),6,1303
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 131,"Barnehagelærer, musikk, drama, kunst og håndverk",Trondheim,LÆRER - BHGLÆRER,ORD,2020,Hovedopptak,37.4,37.4 (22),22,1303
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 131,"Barnehagelærer, musikk, drama, kunst og håndverk",Trondheim,LÆRER - BHGLÆRER,ORD,2020,Suppleringsopptak,37.4,37.4 (15),15,1303
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 131,"Barnehagelærer, musikk, drama, kunst og håndverk",Trondheim,LÆRER - BHGLÆRER,ORDF,2019,Hovedopptak,Alle,Alle (0),0,1272
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 131,"Barnehagelærer, musikk, drama, kunst og håndverk",Trondheim,LÆRER - BHGLÆRER,ORDF,2019,Suppleringsopptak,Alle,Alle (0),0,1272
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 131,"Barnehagelærer, musikk, drama, kunst og håndverk",Trondheim,LÆRER - BHGLÆRER,ORDF,2020,Hovedopptak,33.3,33.3 (10),10,1272
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 131,"Barnehagelærer, musikk, drama, kunst og håndverk",Trondheim,LÆRER - BHGLÆRER,ORDF,2020,Suppleringsopptak,33.3,33.3 (7),7,1272
DMMH,Dronning Mauds Minne Høgskole for barnehagelærerutdanning,253 132,"Barnehagelærer, natur- og friluftsliv",Trondheim,LÆRER - BHGLÆRER,ORD,2019,Hovedopptak,44.8,44.8 (75),75,1303
